id:ID(Drug),label,iri,chebi_id,atc_code,drug_type,drug_class,primary_indication,secondary_indications,mechanism_summary,status_overall,approved_regions,source,raw_source_ids
levetiracetam,Levetiracetam,https://www.alzforum.org/therapeutics/levetiracetam,,,Small Molecule,"Amyloid-Related, Other","Alzheimer's Disease, Parkinson's Disease","Epilepsy and Partial Seizures in U.S., European Union, plus about 20 other countries","Levetiracetam is an atypical anti-convulsant medication and a modulator of the synaptic vesicle protein modulator SV2A. It was developed for the treatment of epilepsy but, as a pyrrolidone acetamide, is chemically unrelated to most other anti-convulsives.",discontinued,,AlzForum.Therapeutics,levetiracetam
levodopa,Levodopa,https://www.alzforum.org/therapeutics/levodopa,,,Small Molecule,Other Neurotransmitters,Parkinson's Disease,,"This dopamine replacement therapy is the mainstay of treatment for motor symptoms of Parkinson’s disease. Levodopa eases tremors, stiffness, and slowness of movement caused by loss of dopaminergic neurons.",approved,,AlzForum.Therapeutics,levodopa
linopirdine,Linopirdine,https://www.alzforum.org/therapeutics/linopirdine,,,Small Molecule,Other,Alzheimer's Disease,,,discontinued,,AlzForum.Therapeutics,linopirdine
liraglutide,Liraglutide,https://www.alzforum.org/therapeutics/liraglutide,,,Other,Other,"Alzheimer's Disease, Parkinson's Disease","Diabetes, weight loss","Liraglutide is an analog of glucagon-like peptide 1. GLP-1 is a hormone that is produced in the gut and activates receptors in the gut, liver, and pancreas to control blood-sugar levels and reduce insulin resistance.",ongoing,,AlzForum.Therapeutics,liraglutide
lithium,Lithium,https://www.alzforum.org/therapeutics/lithium,,,Other,"Amyloid-Related, Tau, Metals, Other","Alzheimer's Disease, Amyotrophic Lateral Sclerosis, Frontotemporal Dementia, Mild Cognitive Impairment, Parkinson's Disease",Bipolar disorder,"Lithium has been used for decades to treat mood disorders, and is now mainly prescribed for bipolar disorder. Common side effects are nausea, excessive thirst and urination, tremor, weight gain, and cognitive dulling.",ongoing,,AlzForum.Therapeutics,lithium
lixisenatide,Lixisenatide,https://www.alzforum.org/therapeutics/lixisenatide,,,Other,Other,Parkinson's Disease,Type 2 diabetes,Lixisenatide is an analog of the hormone glucagon-like peptide-1. GLP-1 stimulates the pancreas to release insulin in response to food intake.,ongoing,,AlzForum.Therapeutics,lixisenatide
lm11a-31-bhs,LM11A-31-BHS,https://www.alzforum.org/therapeutics/lm11a-31-bhs,,,Small Molecule,Other,Alzheimer's Disease,,"LM11A-31 is an orally available, brain-penetrant, small-molecule ligand of the p75 neurotrophic receptor. P75NTF binds nerve growth factor, brain-derived growth factor, and other neurotrophins.",ongoing,,AlzForum.Therapeutics,lm11a-31-bhs
lomecel-b,Lomecel-B,https://www.alzforum.org/therapeutics/lomecel-b,,,Other,"Inflammation, Other",Alzheimer's Disease,,"Lomecel-B is a preparation of multipotent stem and progenitor cells isolated from donated bone marrow of young healthy adults, and expanded in culture. The cells are administered by intravenous infusion and are claimed to travel to sites of tissue damage to quell inflammation and stimulate repair.",ongoing,,AlzForum.Therapeutics,lomecel-b
lornoxicam,Lornoxicam,https://www.alzforum.org/therapeutics/lornoxicam,,,Small Molecule,Inflammation,"Alzheimer's Disease, Mild Cognitive Impairment",Pain in US,,discontinued,,AlzForum.Therapeutics,lornoxicam
losartan,Losartan,https://www.alzforum.org/therapeutics/losartan,,,Small Molecule,Other,Alzheimer's Disease,"Hypertension, diabetic neuropathy",Losartan is an angiotensin II receptor blocker used to treat high blood pressure. It reduces the risk of stroke in people with hypertension and an enlarged heart.,ongoing,,AlzForum.Therapeutics,losartan
low-dose-interleukin-2,Low Dose Interleukin-2,https://www.alzforum.org/therapeutics/low-dose-interleukin-2,,,Other,Inflammation,"Alzheimer's Disease, Amyotrophic Lateral Sclerosis",,Low dose interleukin 2 is being tested as an immunomodulatory approach in neurodegenerative diseases. It increases the number and activity of regulatory T cells (Tregs) that suppress inflammation.,ongoing,,AlzForum.Therapeutics,low-dose-interleukin-2
low-intensity-focused-ultrasound,Low-Intensity Focused Ultrasound,https://www.alzforum.org/therapeutics/low-intensity-focused-ultrasound,,,Procedural Intervention,"Other, Unknown","Alzheimer's Disease, Mild Cognitive Impairment, Parkinson's Disease",,"Low-intensity transcranial focused ultrasound is a noninvasive, targeted neuromodulation technology. It uses mid- or low-frequency sound waves delivered from arrays applied to the outside of the head to change activity in brain circuits.",ongoing,,AlzForum.Therapeutics,low-intensity-focused-ultrasound
lti-291,LTI-291,https://www.alzforum.org/therapeutics/lti-291,,,Small Molecule,Other,Parkinson's Disease,,"LTI-291 is a small-molecule activator of glucocerebrosidase (GCase), a lysosomal enzyme involved in the breakdown of glycosphingolipids. Mutations in GBA1, the gene encoding GCase, are the leading genetic risk factor for the synucleinopathies Parkinson’s disease and dementia with Lewy bodies.",ongoing,,AlzForum.Therapeutics,lti-291
lu-af20513,Lu AF20513,https://www.alzforum.org/therapeutics/lu-af20513,,,Immunotherapy (active),Amyloid-Related,Alzheimer's Disease,,This active vaccine was designed to overcome the weak immune system of aged populations while avoiding auto-immune T cell responses. The Lu AF20513 epitope intersperses three repeats of the first 12 amino acids of the Aβ peptide with sequences of tetanus toxin.,discontinued,,AlzForum.Therapeutics,lu-af20513
lu-af82422,LU AF82422,https://www.alzforum.org/therapeutics/lu-af82422,,,Immunotherapy (passive),alpha-synuclein,"Parkinson's Disease, Multiple System Atrophy",,LU AF82422 is a humanized monoclonal IgG1 antibody targeting the C-terminal of α-synuclein. Genetic and pathology evidence implicate aggregated forms of this protein in the molecular pathogenesis of Parkinson’s disease and other α-synucleinopathies such as dementia with Lewy bodies (DLB).,ongoing,,AlzForum.Therapeutics,lu-af82422
lu-af87908,Lu AF87908,https://www.alzforum.org/therapeutics/lu-af87908,,,Immunotherapy (passive),Tau,Alzheimer's Disease,,Lu AF87908 is a humanized mouse IgG1 monoclonal antibody to phosphorylated tau protein. It was generated by immunization of mice with a tau peptide spanning residues 386-408 and phosphorylated at serine 396 and 404.,ongoing,,AlzForum.Therapeutics,lu-af87908
lu-af88434,Lu AF88434,https://www.alzforum.org/therapeutics/lu-af88434,,,Small Molecule,Other,Mild Cognitive Impairment,,"This small molecule is a potent and selective PDE-1 phosphodiesterase inhibitor that increases neuronal levels of cyclic nucleotide second messengers. Lu AF88434 is intended to enhance neuroplasticity, intracellular signaling, and cognitive functioning.",discontinued,,AlzForum.Therapeutics,lu-af88434
lu25-109,LU25-109,https://www.alzforum.org/therapeutics/lu25-109,,,Small Molecule,Cholinergic System,Alzheimer's Disease,,LU25-109 is a selective partial M1 agonist and an M2/M3 antagonist.,discontinued,,AlzForum.Therapeutics,lu25-109
lumateperone,Lumateperone,https://www.alzforum.org/therapeutics/lumateperone,,,Small Molecule,Other Neurotransmitters,"Alzheimer's Disease, Schizophrenia, Bipolar Disorder",,"This serotonin 5-HT2A receptor antagonist was originally developed by Bristol Myers Squibb, and was licensed to Intra-Cellular Therapies in 2005. In 2019, the U.S.",approved,,AlzForum.Therapeutics,lumateperone
lx1001,LX1001,https://www.alzforum.org/therapeutics/lx1001,,,DNA/RNA-based,Amyloid-Related,Alzheimer's Disease,,This gene-therapy approach uses a viral vector to drive expression of human apolipoprotein E2 protein (APOE2) in the central nervous system. The serotype rh.10 adeno-associated virus with APOE2 cDNA is surgically injected into the spinal canal so that it reaches the cerebrospinal fluid and brain.,ongoing,,AlzForum.Therapeutics,lx1001
ly2599666,LY2599666,https://www.alzforum.org/therapeutics/ly2599666,,,Immunotherapy (passive),Amyloid-Related,Alzheimer's Disease,,"LY2599666 is an Fc-less, antigen-binding fragment of a monoclonal anti-Aβ antibody linked to polyethylene glycol. It targets soluble Aβ monomer and is delivered by subcutaneous injection.",discontinued,,AlzForum.Therapeutics,ly2599666
ly2886721,LY2886721,https://www.alzforum.org/therapeutics/ly2886721,,,Small Molecule,Amyloid-Related,"Alzheimer's Disease, Mild Cognitive Impairment",,"LY2886721 was the first BACE inhibitor to reach Phase 2 clinical research. Prior compounds by Lilly and many other pharmaceutical companies had lacked sufficient brain penetrance, exposure, or other key pharmacological characteristics.",discontinued,,AlzForum.Therapeutics,ly2886721
ly3202626,LY3202626,https://www.alzforum.org/therapeutics/ly3202626,,,Small Molecule,Amyloid-Related,Alzheimer's Disease,,"LY3202626 is a potent small-molecule inhibitor of BACE1, the β-secretase enzyme that cleaves the APP protein to release its C99 fragment. C99 gives rise to various species of Aβ peptide during its subsequent cleavage by γ-secretase.",discontinued,,AlzForum.Therapeutics,ly3202626
ly3884961,LY3884961,https://www.alzforum.org/therapeutics/ly3884961,,,DNA/RNA-based,Other,Parkinson's Disease,,"PR001 is a gene-replacement therapy that uses adeno-associated virus 9 (AAV9) to deliver a functional copy of the GBA1 gene to the brain. GBA1 encodes the enzyme glucocerebrosidase (GCase), a lysosomal enzyme involved in the breakdown of glycosphingolipids.",ongoing,,AlzForum.Therapeutics,ly3884961
ly3884963,LY3884963,https://www.alzforum.org/therapeutics/ly3884963,,,DNA/RNA-based,Other,Frontotemporal Dementia,,PR006 is a gene-replacement therapy that uses adeno-associated virus 9 (AAV9) to deliver a functional copy of the progranulin gene GRN to the brain. Progranulin mutations are a frequent cause of familial frontotemporal dementia.,ongoing,,AlzForum.Therapeutics,ly3884963
ly3954068,LY3954068,https://www.alzforum.org/therapeutics/ly3954068,,,DNA/RNA-based,Tau,Alzheimer's Disease,,LY3954068 is a small interfering RNA (siRNA) that targets expression of the microtubule-associated binding protein tau. No information is available about the makeup of LY3954068.,ongoing,,AlzForum.Therapeutics,ly3954068
ly3962681,LY3962681,https://www.alzforum.org/therapeutics/ly3962681,,,DNA/RNA-based,alpha-synuclein,Parkinson's Disease,,"LY3962681 is a small interfering RNA (siRNA) that binds α-synuclein messenger RNA and causes its degradation. This siRNA is currently being developed as a treatment for Parkinson’s disease, where accumulation of aberrant forms of α-synuclein leads to neurodegeneration.",ongoing,,AlzForum.Therapeutics,ly3962681
masitinib,Masitinib,https://www.alzforum.org/therapeutics/masitinib,,,Small Molecule,Other,"Alzheimer's Disease, Amyotrophic Lateral Sclerosis",,"Masitinib is an orally available inhibitor of the protein tyrosine kinase c-kit, which is expressed on cancer cells. Masitinib also inhibits PDGF and FGF receptors, and fyn and lyn kinases ( Dubreuil et al., 2009 ).",ongoing,,AlzForum.Therapeutics,masitinib
masupirdine,Masupirdine,https://www.alzforum.org/therapeutics/masupirdine,,,Small Molecule,Other Neurotransmitters,Alzheimer's Disease,,"Developed by Suven Inc., the Delaware-based subsidiary of Indian company Suven Life Sciences, SUVN-502 is an orally available, brain-penetrant, selective antagonist of the 5-HT6 serotonin receptor ( Nirogi et al., 2017 ). This G protein-coupled receptor is expressed mostly in the brain, where it mediates neurotransmission for functions including cognition and memory.",ongoing,,AlzForum.Therapeutics,masupirdine
medi1814,MEDI1814,https://www.alzforum.org/therapeutics/medi1814,,,Immunotherapy (passive),Amyloid-Related,Alzheimer's Disease,,"Developed originally at MedImmune, now part of AstraZeneca, this antibody is being developed jointly by AstraZeneca and Eli Lilly. MEDI1814 binds to monomeric Aβ42.",discontinued,,AlzForum.Therapeutics,medi1814
melatonin,Melatonin,https://www.alzforum.org/therapeutics/melatonin,,,"Supplement, Dietary",Other,Alzheimer's Disease,,,ongoing,,AlzForum.Therapeutics,melatonin
mem-1003,MEM 1003,https://www.alzforum.org/therapeutics/mem-1003,,,Small Molecule,Other,"Alzheimer's Disease, Mild Cognitive Impairment, Vascular Dementia, Bipolar Disorder",,MEM 1003 is a dihydropyridine compound related to nimodipine. It is a Ca2 channel antagonist.,discontinued,,AlzForum.Therapeutics,mem-1003
memantine,Memantine,https://www.alzforum.org/therapeutics/memantine,,,Small Molecule,Other Neurotransmitters,Alzheimer's Disease,Alzheimer's Disease,"Memantine is marketed for the treatment of moderate to severe Alzheimer's disease in the United States, Canada, Europe, China, and other countries, and for the treatment of dementia in Germany, where it has been on the market since 1989 under the name Akatinol. Memantine received European marketing approval in 2002 and U.S.",approved,,AlzForum.Therapeutics,memantine
memorem-transcranial-electromagnetic-treatment,MemorEM Transcranial Electromagnetic Treatment,https://www.alzforum.org/therapeutics/memorem-transcranial-electromagnetic-treatment,,,Procedural Intervention,"Amyloid-Related, Other",Alzheimer's Disease,,"MemorEM™ is a patented, noninvasive technology that delivers ultrahigh radio frequency electromagnetic waves to the brain. The device consists of a cap with eight embedded transmitters and a control box worn in an arm strap.",ongoing,,AlzForum.Therapeutics,memorem-transcranial-electromagnetic-treatment
metformin,Metformin,https://www.alzforum.org/therapeutics/metformin,,,Small Molecule,Other,Alzheimer's Disease,Type 2 Diabetes,Metformin is a prescription drug widely used to treat Type 2 diabetes. It lowers blood glucose and restores insulin sensitivity.,ongoing,,AlzForum.Therapeutics,metformin
methylphenidate,Methylphenidate,https://www.alzforum.org/therapeutics/methylphenidate,,,Small Molecule,Other Neurotransmitters,Alzheimer's Disease,"Attention-deficit hyperactivity disorder (ADHD), narcolepsy","This drug is a mild CNS stimulant that is being tested as a treatment for apathy in people with Alzheimer’s disease. It increases dopamine levels in the brain, and improves memory and attention.",ongoing,,AlzForum.Therapeutics,methylphenidate
metrifonate,Metrifonate,https://www.alzforum.org/therapeutics/metrifonate,,,Small Molecule,Cholinergic System,Alzheimer's Disease,,Metrifonate is a long-acting irreversible cholinesterase inhibitor. It was originally used to treat schistosomiasis.,discontinued,,AlzForum.Therapeutics,metrifonate
mevidalen,Mevidalen,https://www.alzforum.org/therapeutics/mevidalen,,,Small Molecule,Other Neurotransmitters,"Parkinson's Disease Dementia, Dementia with Lewy Bodies",,"LY3154207 is a small-molecule, positive allosteric modulator of the dopamine receptor D1 (D1 PAM). The drug increases affinity of the D1 receptor for dopamine, and is thought to improve dementia symptoms by amplifying the effect of endogenous dopamine.",ongoing,,AlzForum.Therapeutics,mevidalen
milameline,Milameline,https://www.alzforum.org/therapeutics/milameline,,,Small Molecule,Cholinergic System,Alzheimer's Disease,,"Milameline is a muscarinic receptor agonist with approximately equal affinities determined at the five subtypes of human muscarinic receptors (hM1–hM5) ( Schwarz et al., 1999 ).",discontinued,,AlzForum.Therapeutics,milameline
minocycline,Minocycline,https://www.alzforum.org/therapeutics/minocycline,,,Small Molecule,Other,Alzheimer's Disease,,"This second-generation tetracycline antibiotic has been in use for more than 30 years. It also has anti-inflammatory activity, crosses the blood-brain barrier, and inhibits microglia activation.",discontinued,,AlzForum.Therapeutics,minocycline
minzasolmin,Minzasolmin,https://www.alzforum.org/therapeutics/minzasolmin,,,Small Molecule,alpha-synuclein,Parkinson's Disease,,"Minzasolmin is a small-molecule α-synuclein aggregation inhibitor. Oligomerization and aggregation of α-synuclein is implicated in Parkinson’s disease, dementia with Lewy bodies, and multiple-system atrophy.",discontinued,,AlzForum.Therapeutics,minzasolmin
mirtazapine,Mirtazapine,https://www.alzforum.org/therapeutics/mirtazapine,,,Small Molecule,Other Neurotransmitters,Alzheimer's Disease,,"Mirtazapine is a tricyclic antidepressant. It inhibits central presynaptic α-2-adrenergic receptors, and increases the release of serotonin and norepinephrine.",ongoing,,AlzForum.Therapeutics,mirtazapine
mivelsiran,Mivelsiran,https://www.alzforum.org/therapeutics/mivelsiran,,,DNA/RNA-based,Amyloid-Related,"Alzheimer's Disease, Cerebral Amyloid Angiopathy",,"This gene-silencing approach uses intrathecal injection of a small interfering RNA targeting the amyloid precursor protein mRNA as a potential treatment for Alzheimer’s disease and cerebral amyloid angiopathy. The goal is to reduce expression of APP in the central nervous system and thus depress production of substrates for amyloid deposition, e.g.",ongoing,,AlzForum.Therapeutics,mivelsiran
mk-1167,MK-1167,https://www.alzforum.org/therapeutics/mk-1167,,,Small Molecule,Cholinergic System,Alzheimer's Disease,,"MK-1167 is an α-7 nicotinic acetylcholine receptor positive allosteric modulator. It is being developed for the treatment of cognitive deficits in Alzheimer's disease, schizophrenia, and attention deficit hyperactivity disorder.",ongoing,,AlzForum.Therapeutics,mk-1167
mk-1942,MK-1942,https://www.alzforum.org/therapeutics/mk-1942,,,Small Molecule,Unknown,Alzheimer's Disease,,"Little is known about MK-1942, a small-molecule drug Merck began to develop for treatment-resistant depression in 2021. At that time, Merck partnered with Novamind, a company focusing on clinical applications of psychedelic compounds such as those derived from psilocybin mushrooms or LSD.",discontinued,,AlzForum.Therapeutics,mk-1942
mk-2214,MK-2214,https://www.alzforum.org/therapeutics/mk-2214,,,Immunotherapy (passive),Tau,Alzheimer's Disease,,"MK-2214 is an anti-tau monoclonal antibody. This is likely an antibody to phosphorylated tau created at Teijin Pharma in Japan, and licensed by Merck in 2017 ( press release ).",ongoing,,AlzForum.Therapeutics,mk-2214
mk-7622,MK-7622,https://www.alzforum.org/therapeutics/mk-7622,,,Small Molecule,Unknown,Alzheimer's Disease,,Merck is developing MK-7622 as an add-on therapy to the cholinesterase inhibitor donepezil for the treatment of Alzheimer's disease. No studies have been published on this compound in the peer-reviewed literature or other publicly available documents.,discontinued,,AlzForum.Therapeutics,mk-7622
mk-8189,MK-8189,https://www.alzforum.org/therapeutics/mk-8189,,,Small Molecule,Other Neurotransmitters,Alzheimer's Disease,,MK-8189 is a selective inhibitor of phosphodiesterase 10A (PDE10A). This enzyme catalyzes the breakdown of second messengers cGMP and cAMP.,ongoing,,AlzForum.Therapeutics,mk-8189
mkc-231,MKC-231,https://www.alzforum.org/therapeutics/mkc-231,,,Small Molecule,Unknown,Alzheimer's Disease,,"MKC-231 is reported to enhance high-affinity choline uptake (HACU), a rate-limiting step in acetylcholine synthesis ( Takashina et al., 2008 ).",unknown,,AlzForum.Therapeutics,mkc-231
montelukast,Montelukast,https://www.alzforum.org/therapeutics/montelukast,,,Small Molecule,Inflammation,"Alzheimer's Disease, Parkinson's Disease",Asthma,Montelukast is a leukotriene receptor antagonist used to treat asthma and allergy symptoms. Leukotrienes are inflammatory mediators released by white blood cells.,ongoing,,AlzForum.Therapeutics,montelukast
msdc-0160,MSDC-0160,https://www.alzforum.org/therapeutics/msdc-0160,,,Small Molecule,Other,Alzheimer's Disease,,,ongoing,,AlzForum.Therapeutics,msdc-0160
multivitamin-mineral-supplement,Multivitamin-mineral Supplement,https://www.alzforum.org/therapeutics/multivitamin-mineral-supplement,,,"Supplement, Dietary",Other,Mild Cognitive Impairment,,"Multivitamin deficiencies in older adults may increase risk for cognitive decline and dementia ( Littlejohns et al., 2014 ; Mohajeri et al., 2015 ). In the only large, randomized trial completed to date, a daily multivitamin produced no cognitive benefit in nearly 6,000 male physicians followed for 12 years ( Grodstein et al., 2013 ).",unknown,,AlzForum.Therapeutics,multivitamin-mineral-supplement
mw150-0,MW150,https://www.alzforum.org/therapeutics/mw150-0,,,Small Molecule,"Inflammation, Other",Alzheimer's Disease,,"MW150 is a CNS-penetrant, selective inhibitor of the alpha isoform of the mitogen-activated serine/threonine protein kinase p38 MAPK. It is taken by mouth.",ongoing,,AlzForum.Therapeutics,mw150-0
mw151,MW151,https://www.alzforum.org/therapeutics/mw151,,,Small Molecule,Inflammation,Alzheimer's Disease,,"MW151 is an orally available, brain-penetrant, anti-inflammatory compound. Its target is undisclosed.",ongoing,,AlzForum.Therapeutics,mw151
na-831,NA-831,https://www.alzforum.org/therapeutics/na-831,,,Small Molecule,Cholinergic System,Alzheimer's Disease,,"This small molecule is claimed to activate AMPA receptors and increase the production of brain-derived neurotrophic factor in neurons. According to company information, it promotes neurogenesis and cognitive function.",ongoing,,AlzForum.Therapeutics,na-831
nabilone,Nabilone,https://www.alzforum.org/therapeutics/nabilone,,,Small Molecule,Other Neurotransmitters,"Alzheimer's Disease, Parkinson's Disease",Nausea associated with cancer chemotherapy (US and other countries); pain spasticity in multiple sclerosis (Canada and other countries).,"Nabilone is a synthetic compound sold by Bausch Health, formerly Valeant Pharmaceuticals. Nabilone is related to delta-9-tetrahydrocannabinol, aka THC, the major psychoactive compound of cannabis.",ongoing,,AlzForum.Therapeutics,nabilone
naproxen,Naproxen,https://www.alzforum.org/therapeutics/naproxen,,,Small Molecule,Inflammation,Alzheimer's Disease,"Over-the-counter drug for reduction of pain, fever, inflammation, and stiffness.","Naproxen is an over-the-counter nonsteroidal anti-inflammatory drug (NSAID). It inhibits COX-1 and COX-2, both isoforms of the cyclooxygenase enzyme, and reduces inflammation through reduced prostaglandin synthesis.",discontinued,,AlzForum.Therapeutics,naproxen
nasal-insulin,Nasal Insulin,https://www.alzforum.org/therapeutics/nasal-insulin,,,"Small Molecule, Other","Amyloid-Related, Other","Alzheimer's Disease, Mild Cognitive Impairment, Parkinson's Disease, Multiple System Atrophy",Diabetes,"Insulin is the peptide hormone that is standard treatment for the management of Type 1 diabetes. In a new therapeutic approach, various forms of commercially available insulin are being atomized into a spray and inhaled through the nose.",ongoing,,AlzForum.Therapeutics,nasal-insulin
nb-4746,NB-4746,https://www.alzforum.org/therapeutics/nb-4746,,,Small Molecule,Other,Amyotrophic Lateral Sclerosis,,"NB-4746 is an oral, brain-penetrant, small molecule inhibitor of the nicotinamide adenine dinucleotide (NAD) hydrolase SARM1. SARM1 activation is required for axon degeneration after nerve injury, and SARM1 inhibitors have the potential to prevent or slow neurodegenerative diseases that involve axon loss.",ongoing,,AlzForum.Therapeutics,nb-4746
nefiracetam,Nefiracetam,https://www.alzforum.org/therapeutics/nefiracetam,,,Small Molecule,Cholinergic System,Alzheimer's Disease,,"Nefiracetam is a pyrrolidone-type agent that affects multiple neurotransmitter systems including: aminergic, glutaminergic, and cholinergic. It has been shown to stimulate α4β2-type neuronal nicotinic acetylcholine receptors, activating protein kinase C, and reducing magnesium block of the NMDA receptor 13—19.",discontinued,,AlzForum.Therapeutics,nefiracetam
neflamapimod,Neflamapimod,https://www.alzforum.org/therapeutics/neflamapimod,,,Small Molecule,Inflammation,"Alzheimer's Disease, Dementia with Lewy Bodies, Huntington's Disease",,"Neflamapimod selectively inhibits the alpha isoform of the mitogen-activated serine/threonine protein kinase p38 MAPK, a ""stress kinase"" considered a drug target in CNS diseases ( Duffy et al., 2011 ). Previously called VX-745, neflamapimod has been repurposed for evaluation in neurodegenerative diseases.",discontinued,,AlzForum.Therapeutics,neflamapimod
nelonicline,Nelonicline,https://www.alzforum.org/therapeutics/nelonicline,,,Small Molecule,Cholinergic System,"Alzheimer's Disease, Schizophrenia",,"ABT-126 is an α-7 nicotinic acetylcholine receptor (α7-nAChR) allosteric modulator that was being developed to treat cognitive deficits in schizophrenia and Alzheimer's disease. Cholinergic function declines in Alzheimer's, and currently approved acetylcholinesterase-inhibitor therapies modestly improve cognitive deficits in patients with AD by way of boosting cholinergic transmission.",discontinued,,AlzForum.Therapeutics,nelonicline
nelotanserin,Nelotanserin,https://www.alzforum.org/therapeutics/nelotanserin,,,Small Molecule,Other Neurotransmitters,Dementia with Lewy Bodies,,"Nelotanserin is a serotonin, aka 5HT, 2A receptor inverse agonist. Originally called ADP-125, the compound was developed by Arena Pharmaceuticals as a treatment for insomnia, but failed efficacy measures for this indication in Phase 2.",discontinued,,AlzForum.Therapeutics,nelotanserin
neotrofin,NeoTrofin,https://www.alzforum.org/therapeutics/neotrofin,,,Small Molecule,Unknown,Alzheimer's Disease,,"NeoTrofin is a derivative of the purine hypoxanthin. It was found to stimulate the production mRNA for NGF, neurotrophin-3, and bFGF in cultured mouse astrocytes (Glasky et al., 1995).",discontinued,,AlzForum.Therapeutics,neotrofin
neramexane,Neramexane,https://www.alzforum.org/therapeutics/neramexane,,,Small Molecule,Other Neurotransmitters,Alzheimer's Disease,,"Similar to memantine, neramexane is an NMDA receptor channel blocker with moderate affinity. It displays voltage dependency, and rapid unblocking kinetics ( Gilling et al., 2007 ).",discontinued,,AlzForum.Therapeutics,neramexane
neu-411,NEU-411,https://www.alzforum.org/therapeutics/neu-411,,,Small Molecule,"Inflammation, Other",Parkinson's Disease,,NEU-411 is a small molecule that enters the brain and inhibits the leucine-rich repeat kinase LRRK2. It is being developed to treat Parkinson’s disease.,ongoing,,AlzForum.Therapeutics,neu-411
neuroad,NeuroAD,https://www.alzforum.org/therapeutics/neuroad,,,Procedural Intervention,Other,Alzheimer's Disease,,"NeuroADTM rTMS is a non-invasive neuromodulation system. It combines brief trains of 10 Hz electric pulses to brain regions affected in AD, i.e., frontal, temporal, and parietal regions, alternating with sessions of computerized cognitive training designed to engage those same regions.",unknown,,AlzForum.Therapeutics,neuroad
nic5-15,NIC5-15,https://www.alzforum.org/therapeutics/nic5-15,,,"Small Molecule, Supplement, Dietary","Amyloid-Related, Other",Alzheimer's Disease,,"NIC5-15 is pinitol, a naturally occurring cyclic sugar alcohol. It is found in soy and several other plants and fruits.",ongoing,,AlzForum.Therapeutics,nic5-15
nicotinamide-riboside,Nicotinamide Riboside,https://www.alzforum.org/therapeutics/nicotinamide-riboside,,,"Supplement, Dietary",Other,"Alzheimer's Disease, Parkinson's Disease, Mild Cognitive Impairment",,"Nicotinamide riboside (NR) is a patented analog of nicotinamide or Vitamin B3, and is sold as a dietary supplement under the brand name Tru Niagen. Cells use NR to synthesize NAD+, an essential cofactor for many processes including ATP generation and DNA repair, and a key sensor of cellular metabolism.",ongoing,,AlzForum.Therapeutics,nicotinamide-riboside
nilotinib,Nilotinib,https://www.alzforum.org/therapeutics/nilotinib,,,Small Molecule,Other,"Parkinson's Disease, Dementia with Lewy Bodies, Alzheimer's Disease",Chronic myeloid leukemia,"Nilotinib is an oral Abl tyrosine kinase inhibitor used to treat chronic myeloid leukemia. Nilotinib induces autophagy, leading to death of rapidly dividing cells ( Salomoni and Calabretta, 2009 ).",ongoing,,AlzForum.Therapeutics,nilotinib
nilvadipine,Nilvadipine,https://www.alzforum.org/therapeutics/nilvadipine,,,Small Molecule,Other,Alzheimer's Disease,,Nilvadipine is a dihydropyridine calcium channel blocker. It has been prescribed in Europe and Japan to treat hypertension since the 1990s and has accumulated a strong safety record.,unknown,,AlzForum.Therapeutics,nilvadipine
nimodipine,Nimodipine,https://www.alzforum.org/therapeutics/nimodipine,,,Small Molecule,Metals,Frontotemporal Dementia,Subarachnoid hemorrhage,"Nimodipine is a calcium channel blocker. It is prescribed to prevent vasospasm and possible subsequent stroke in people who have suffered a hemorrhage in the subarachnoid space, the compartment surrounding the brain.",discontinued,,AlzForum.Therapeutics,nimodipine
nio752,NIO752,https://www.alzforum.org/therapeutics/nio752,,,DNA/RNA-based,Tau,"Progressive Supranuclear Palsy, Alzheimer's Disease",,"NIO752 is an antisense oligonucleotide to tau, designed to reduce the levels of this protein by interfering with translation of tau mRNA. The antisense strategy assumes that decreasing the abundance of tau will slow the formation of tau aggregates and progression of tau pathology.",ongoing,,AlzForum.Therapeutics,nio752
nivegacetor,Nivegacetor,https://www.alzforum.org/therapeutics/nivegacetor,,,Small Molecule,Amyloid-Related,Alzheimer's Disease,,"This second-generation γ-secretase modulator is in development for the treatment of Alzheimer's disease. The rationale is that, unlike γ-secretase inhibitors, which inhibit the enzyme complex outright, modulators shift APP cleavage toward production of shorter Aβ peptides and away from production of longer, aggregation-prone peptides such as Aβ42 and Aβ43, while sparing γ-secretase's physiological cleavages of substrates such as notch (e.g.",ongoing,,AlzForum.Therapeutics,nivegacetor
nmra-511,NMRA-511,https://www.alzforum.org/therapeutics/nmra-511,,,Small Molecule,Other,Alzheimer's Disease,,"NMRA-511 is an oral, selective, brain-penetrant antagonist of the vasopressin 1a receptor (V1aR). The V1aR is expressed in multiple areas of the brain, and plays a role in social behaviors, anxiety, and threat processing.",ongoing,,AlzForum.Therapeutics,nmra-511
npt520-34,NPT520-34,https://www.alzforum.org/therapeutics/npt520-34,,,Small Molecule,"alpha-synuclein, Inflammation, Other","Amyotrophic Lateral Sclerosis, Parkinson's Disease",,"This orally available, small-molecule antagonist of toll-like receptor 2 (TLR2) is in development for the treatment of Parkinson’s disease and ALS. TLR2 is a pattern-recognition, innate immune receptor expressed on neurons and glial cells.",ongoing,,AlzForum.Therapeutics,npt520-34
